name,address,rating,review_count,latitude,longitude,type,place_id,business_status,current_opening_hours,editorial_summary,international_phone_number,price_level,reservable,secondary_opening_hours,url,website
Hamam - The Turkish bath for women,"Mariannenstraße 6, 10997 Berlin, Germany",3.9,378,52.5008346,13.4233137,sauna,ChIJb4TDUTROqEcRio5NLy2g5pE,OPERATIONAL,"['Monday: 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20096:00\u202fPM']",N/A,+49 30 6151464,N/A,N/A,N/A,https://maps.google.com/?cid=10513266496070585994,http://www.hamamberlin.de/
Saunainsel Berlin,"Kratzbruch, 10245 Berlin, Germany",5,16,52.48908180000001,13.486593,sauna,ChIJfyxdqqBPqEcRZsCeOJiJ9hw,OPERATIONAL,"['Monday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']",N/A,+49 176 77877500,N/A,N/A,N/A,https://maps.google.com/?cid=2087006764210765926,http://batuga.de/saunainsel
Befine SPORTS & SPA,"Chausseestraße 30, 10115 Berlin, Germany",4.1,165,52.5323541,13.3813779,sauna,ChIJ8e_MKu1RqEcRlkP9Ns5ULRE,OPERATIONAL,"['Monday: 6:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,+49 30 3116858865,N/A,N/A,N/A,https://maps.google.com/?cid=1237738717259318166,https://befine-clubs.de/de/
Waldorf Astoria Spa,"Hardenbergstraße 28/Floor 5, 10623 Berlin, Germany",4.5,94,52.50548149999999,13.332767,sauna,ChIJB7k_Uf5QqEcREfjNW3es8gA,OPERATIONAL,"['Monday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:30\u202fPM']",N/A,+49 30 8140002950,N/A,N/A,N/A,https://maps.google.com/?cid=68306573005289489,https://waldorfastoriaberlin.de/en/waldorfastoria-spa/
Artemis Sauna Club Berlin,"Halenseestraße 32-36, 10711 Berlin, Germany",4.4,265,52.499573,13.2822013,sauna,ChIJ2d8POQ5RqEcRMdHqew4OukU,OPERATIONAL,"['Monday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20095:00\u202fAM']",N/A,+49 30 8904440,N/A,N/A,N/A,https://maps.google.com/?cid=5024343789656527153,https://www.fkk-artemis.de/
Wellness Deluxe Bar 23,"Körnerstraße 23, 12157 Berlin, Germany",4.4,67,52.460797,13.3306935,sauna,ChIJwzDOqPxbqEcRBx3oo7e_40g,OPERATIONAL,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u2009–\u200910:00\u202fPM']",N/A,+49 176 15279403,N/A,N/A,N/A,https://maps.google.com/?cid=5252252385893948679,http://www.wellness-deluxe23.de/
tranxx - Floating Bath & Massage World,"Akazienstraße 27, 10823 Berlin, Germany",4.8,465,52.4868544,13.3550469,sauna,ChIJX1L0AkFQqEcRYKTRa-oY7ew,OPERATIONAL,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",N/A,+49 30 78957280,N/A,N/A,N/A,https://maps.google.com/?cid=17072329157541733472,http://www.tranxx.de/
ONO Spa,"ONO Spa im THE MANDALA HOTEL, Potsdamer Str. 3, 10785 Berlin, Germany",4.8,73,52.5089736,13.3736811,sauna,ChIJIeqReMlRqEcRStOIkiCYMjM,OPERATIONAL,"['Monday: 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 4:00\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']",N/A,+49 30 590051100,N/A,N/A,N/A,https://maps.google.com/?cid=3689178310434673482,https://onospa.de/de/
SPA InterContinental,"Budapester Str. 2, 10787 Berlin, Germany",4.4,51,52.5070279,13.345529,sauna,ChIJF6VjuqxRqEcRgNvyJ6-3JuA,OPERATIONAL,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A,+49 30 26023011,N/A,N/A,N/A,https://maps.google.com/?cid=16151799076528249728,https://www.berlin.intercontinental.com/wellness/
HOLIDAY SPA,"Düsterhauptstraße 15, 13469 Berlin, Germany",4.4,467,52.6102771,13.3180084,sauna,ChIJ30fgnJtUqEcRDbsft5FAUKA,OPERATIONAL,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:15\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: Closed', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u20099:00\u202fPM']",N/A,+49 30 40208410,N/A,N/A,N/A,https://maps.google.com/?cid=11551804038792067853,http://www.holiday-spa.berlin/
Club Olympus Spa & Fitness,"Marlene-Dietrich-Platz 2, 10785 Berlin, Germany",4.3,101,52.508209,13.372753,sauna,ChIJTYcTLspRqEcR6z3zI8F5saE,OPERATIONAL,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A,+49 30 25531890,N/A,N/A,N/A,https://maps.google.com/?cid=11651227581422976491,https://www.hyatt.com/de-DE/spas/Club-Olympus-Berlin/home?src=prop_bergh_de_misc_googlebusinessprofile_organic_website
LAKANA Thai Massage & Fish Spa- Klimatisiert!!!in Berlin,"Greifswalder Str. 11, 10405 Berlin, Germany",4.8,527,52.5298294,13.4262197,sauna,ChIJW7hYUwVOqEcRjCoB8Cj3DVs,OPERATIONAL,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20098:00\u202fPM', 'Wednesday: 12:00\u2009–\u20098:00\u202fPM', 'Thursday: 12:00\u2009–\u20098:00\u202fPM', 'Friday: 12:00\u2009–\u20098:00\u202fPM', 'Saturday: 12:00\u2009–\u20097:00\u202fPM', 'Sunday: 12:00\u2009–\u20097:00\u202fPM']",N/A,+49 30 92143156,N/A,N/A,"[{'open_now': True, 'periods': [{'close': {'date': '2024-09-12', 'day': 4, 'time': '2359', 'truncated': True}, 'open': {'date': '2024-09-06', 'day': 5, 'time': '0000', 'truncated': True}}], 'type': 'ONLINE_SERVICE_HOURS', 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}]",https://maps.google.com/?cid=6561171987346041484,https://lakana-thaimassage.de/
"Russian sauna Banja ""Berezka""","Stromstraße 50, 10551 Berlin, Germany",3.7,55,52.5288756,13.342769,sauna,ChIJa-XQt3RRqEcRGqwdkAWjmFg,OPERATIONAL,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,+49 30 55655750,N/A,N/A,N/A,https://maps.google.com/?cid=6384031716085705754,N/A
Gezer Massage,"Alexanderpl. 7, 10178 Berlin, Germany",4.4,106,52.5228494,13.4129207,sauna,ChIJY_RROCxPqEcRuf4g9qYIPuc,OPERATIONAL,"['Monday: 12:00\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u200910:00\u202fPM']",N/A,+49 30 23894264,N/A,N/A,N/A,https://maps.google.com/?cid=16662765184504364729,http://www.gezer-massagen.com/
Sky Spa & Fitnesslounge,"Ella-Trebe-Straße 5, 10557 Berlin, Germany",4.8,72,52.5234298,13.3679819,sauna,ChIJ011DFCZRqEcRR3i2lcmbxvI,OPERATIONAL,"['Monday: 2:00\u2009–\u200910:00\u202fPM', 'Tuesday: 2:00\u2009–\u200910:00\u202fPM', 'Wednesday: 2:00\u2009–\u200910:00\u202fPM', 'Thursday: 2:00\u2009–\u200910:00\u202fPM', 'Friday: 2:00\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']",N/A,+49 30 740743888,N/A,N/A,N/A,https://maps.google.com/?cid=17493841092669765703,http://www.sky-spa-fitnesslounge.de/
Yi-Spa,"Monbijoupl. 3A, 10178 Berlin, Germany",4.5,214,52.5232385,13.3993984,sauna,ChIJG98KSedRqEcRwwrWSWRpjVc,OPERATIONAL,"['Monday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20098:00\u202fPM']",N/A,+49 30 28879665,N/A,N/A,N/A,https://maps.google.com/?cid=6308814532472343235,http://www.yi-spa.com/
centrovital Spa & Sportclub,"Brauereihof 6, 13585 Berlin, Germany",4.4,314,52.54653260000001,13.2101602,sauna,ChIJIU_41WtWqEcRR1_eDEwElUY,OPERATIONAL,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,+49 30 81875113,N/A,N/A,N/A,https://maps.google.com/?cid=5085976078864768839,https://www.centrovital-berlin.de/spa-und-sportclub/
Camping&mobileSauna,"Falkenhagener Str. 22, 13585 Berlin, Germany",5,48,52.5467324,13.199294,sauna,ChIJP7YccJhXqEcRZnPNjiEEXps,OPERATIONAL,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,+49 1525 7253595,N/A,N/A,N/A,https://maps.google.com/?cid=11195390265865892710,https://www.camping-mobilesauna.de/
centrovital,"Brauereihof 6, 13585 Berlin, Germany",4.3,2856,52.54672619999999,13.2106614,sauna,ChIJRb73xWtWqEcRUX6jr4l8V2Y,OPERATIONAL,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Refined rooms & suites in a classy spa hotel with a lake-view restaurant & a bistro/bar.,+49 30 818750,N/A,N/A,N/A,https://maps.google.com/?cid=7374499845641567825,https://www.centrovital-berlin.de/
Palace Spa Berlin,"Budapester Str. 45, 10787 Berlin, Germany",4,19,52.50492819999999,13.3386372,sauna,ChIJI7aXc1VQqEcR10Cjwog8XRk,OPERATIONAL,"['Monday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,+49 30 25021070,N/A,N/A,N/A,https://maps.google.com/?cid=1827683581860987095,https://www.palace.de/hotel/palace-spa-fitness
